time,open,high,low,close,OB long,OB Short,FVG Long,FVG Short
2026-02-27T22:25:00+08:00,1.18011,1.18043,1.18001,1.18019,0,0,0,0
2026-02-27T22:30:00+08:00,1.1802,1.18094,1.18006,1.18089,0,0,0,0
2026-02-27T22:35:00+08:00,1.18095,1.18154,1.18095,1.18123,0,0,0,0
2026-02-27T22:40:00+08:00,1.18121,1.18146,1.18102,1.18135,0,0,0,0
2026-02-27T22:45:00+08:00,1.18133,1.18135,1.18064,1.18072,0,0,0,0
2026-02-27T22:50:00+08:00,1.18074,1.18093,1.18011,1.18013,0,0,0,0
2026-02-27T22:55:00+08:00,1.18015,1.18016,1.17957,1.17969,0,0,0,0
2026-02-27T23:00:00+08:00,1.1797,1.18044,1.17964,1.18013,0,0,0,0
2026-02-27T23:05:00+08:00,1.18012,1.18067,1.18008,1.18021,0,0,0,0
2026-02-27T23:10:00+08:00,1.18022,1.18062,1.18006,1.1801,0,0,0,0
2026-02-27T23:15:00+08:00,1.18011,1.18029,1.17979,1.18028,0,0,0,0
2026-02-27T23:20:00+08:00,1.18026,1.18069,1.18025,1.18056,0,0,0,0
2026-02-27T23:25:00+08:00,1.18057,1.18085,1.18037,1.18079,0,0,0,0
2026-02-27T23:30:00+08:00,1.18079,1.18123,1.18068,1.18109,0,0,0,0
2026-02-27T23:35:00+08:00,1.1811,1.18173,1.18104,1.18133,0,0,0,0
2026-02-27T23:40:00+08:00,1.18134,1.18149,1.18098,1.18124,0,-1,0,0
2026-02-27T23:45:00+08:00,1.18126,1.18133,1.18041,1.18066,0,0,0,0
2026-02-27T23:50:00+08:00,1.18067,1.18086,1.18003,1.18065,0,0,0,0
2026-02-27T23:55:00+08:00,1.18064,1.18089,1.18059,1.18071,0,0,0,0
2026-02-28T00:00:00+08:00,1.18072,1.18143,1.18057,1.18137,0,0,0,0
2026-02-28T00:05:00+08:00,1.18138,1.1818,1.18138,1.18154,0,0,0,0
2026-02-28T00:10:00+08:00,1.18153,1.18174,1.18137,1.18167,0,0,0,0
2026-02-28T00:15:00+08:00,1.18164,1.18214,1.1816,1.18182,0,0,0,0
2026-02-28T00:20:00+08:00,1.18183,1.1819,1.18152,1.18161,0,0,0,0
2026-02-28T00:25:00+08:00,1.18162,1.18198,1.18158,1.18162,0,0,0,0
2026-02-28T00:30:00+08:00,1.18168,1.18229,1.18168,1.1822,0,0,0,0
2026-02-28T00:35:00+08:00,1.18221,1.18251,1.182,1.18234,0,0,0,0
2026-02-28T00:40:00+08:00,1.18233,1.18235,1.18168,1.18172,0,0,0,0
2026-02-28T00:45:00+08:00,1.18173,1.18209,1.18171,1.18178,0,0,0,0
2026-02-28T00:50:00+08:00,1.18181,1.18216,1.18181,1.18214,1,0,0,0
2026-02-28T00:55:00+08:00,1.18219,1.18225,1.18201,1.18221,0,0,0,0
2026-02-28T01:00:00+08:00,1.18219,1.18229,1.18198,1.18212,0,0,0,0
2026-02-28T01:05:00+08:00,1.18213,1.1827,1.18202,1.18262,0,0,0,0
2026-02-28T01:10:00+08:00,1.18261,1.18266,1.18195,1.18203,0,0,0,0
2026-02-28T01:15:00+08:00,1.18203,1.18213,1.18192,1.18208,0,0,0,0
2026-02-28T01:20:00+08:00,1.18209,1.1821,1.18171,1.18186,0,0,0,0
2026-02-28T01:25:00+08:00,1.18185,1.18203,1.1818,1.18194,0,0,0,0
2026-02-28T01:30:00+08:00,1.18193,1.18235,1.18181,1.18233,0,0,0,0
2026-02-28T01:35:00+08:00,1.18232,1.18243,1.18218,1.18221,0,0,0,0
2026-02-28T01:40:00+08:00,1.18221,1.18228,1.18201,1.18219,0,0,0,0
2026-02-28T01:45:00+08:00,1.18219,1.18219,1.18185,1.18189,0,0,0,0
2026-02-28T01:50:00+08:00,1.18188,1.18191,1.1817,1.18172,0,0,0,0
2026-02-28T01:55:00+08:00,1.18171,1.1818,1.18157,1.18165,0,0,0,0
2026-02-28T02:00:00+08:00,1.18167,1.18179,1.18156,1.18157,0,0,0,0
2026-02-28T02:05:00+08:00,1.18156,1.18167,1.18141,1.18149,0,0,0,0
2026-02-28T02:10:00+08:00,1.18147,1.1816,1.18133,1.18134,0,0,0,0
2026-02-28T02:15:00+08:00,1.18134,1.18174,1.18134,1.18174,0,0,0,0
2026-02-28T02:20:00+08:00,1.18172,1.18176,1.18146,1.18162,0,0,0,0
2026-02-28T02:25:00+08:00,1.18161,1.18162,1.18121,1.18142,0,0,0,0
2026-02-28T02:30:00+08:00,1.18154,1.18156,1.18114,1.18146,0,0,0,0
2026-02-28T02:35:00+08:00,1.18147,1.18159,1.18133,1.1814,0,0,0,0
2026-02-28T02:40:00+08:00,1.18141,1.18158,1.18137,1.18158,0,0,0,0
2026-02-28T02:45:00+08:00,1.18157,1.18164,1.18147,1.18157,0,0,0,0
2026-02-28T02:50:00+08:00,1.18155,1.18173,1.18137,1.18172,0,0,0,0
2026-02-28T02:55:00+08:00,1.1817,1.18192,1.18167,1.18179,0,0,0,0
2026-02-28T03:00:00+08:00,1.18178,1.18201,1.18176,1.18185,0,0,0,0
2026-02-28T03:05:00+08:00,1.18183,1.18198,1.1817,1.18184,0,0,0,0
2026-02-28T03:10:00+08:00,1.18183,1.1819,1.18167,1.18177,0,0,0,0
2026-02-28T03:15:00+08:00,1.18178,1.18197,1.18177,1.18195,0,0,0,0
2026-02-28T03:20:00+08:00,1.18196,1.18223,1.18196,1.18212,0,0,0,0
2026-02-28T03:25:00+08:00,1.18213,1.18228,1.18209,1.18221,0,0,0,0
2026-02-28T03:30:00+08:00,1.18221,1.18224,1.18203,1.18219,0,0,0,0
2026-02-28T03:35:00+08:00,1.18221,1.18221,1.1821,1.1821,0,0,0,0
2026-02-28T03:40:00+08:00,1.18211,1.18213,1.18187,1.18199,0,0,0,0
2026-02-28T03:45:00+08:00,1.18201,1.18208,1.18192,1.18207,1,0,0,0
2026-02-28T03:50:00+08:00,1.18207,1.18216,1.18197,1.18209,0,0,0,0
2026-02-28T03:55:00+08:00,1.18208,1.18214,1.18188,1.18193,0,0,0,0
2026-02-28T04:00:00+08:00,1.18192,1.1823,1.18192,1.18229,0,0,0,0
2026-02-28T04:05:00+08:00,1.1823,1.18238,1.18218,1.18219,0,0,0,0
2026-02-28T04:10:00+08:00,1.1822,1.1823,1.18212,1.18227,1,0,0,0
2026-02-28T04:15:00+08:00,1.18229,1.18242,1.18225,1.18238,0,0,0,0
2026-02-28T04:20:00+08:00,1.18239,1.18239,1.18223,1.18223,0,0,0,0
2026-02-28T04:25:00+08:00,1.18222,1.1824,1.18221,1.18235,0,0,0,0
2026-02-28T04:30:00+08:00,1.18232,1.18259,1.18232,1.18257,0,0,0,0
2026-02-28T04:35:00+08:00,1.18257,1.1826,1.18242,1.18248,0,0,0,0
2026-02-28T04:40:00+08:00,1.18248,1.18257,1.18237,1.18243,0,0,0,0
2026-02-28T04:45:00+08:00,1.18244,1.18254,1.18237,1.1824,0,0,0,0
2026-02-28T04:50:00+08:00,1.18238,1.18247,1.18217,1.18225,0,0,0,0
