time,open,high,low,close,Long,Short
2026-02-25T14:15:00+08:00,1.18022,1.18037,1.18014,1.18035,0,0
2026-02-25T14:20:00+08:00,1.18034,1.18048,1.18024,1.18042,0,0
2026-02-25T14:25:00+08:00,1.18043,1.18053,1.18016,1.18045,0,0
2026-02-25T14:30:00+08:00,1.18044,1.18054,1.1803,1.18053,0,0
2026-02-25T14:35:00+08:00,1.18045,1.18057,1.1804,1.18056,0,0
2026-02-25T14:40:00+08:00,1.18055,1.18058,1.18019,1.18023,0,0
2026-02-25T14:45:00+08:00,1.1802,1.18036,1.18017,1.18034,0,0
2026-02-25T14:50:00+08:00,1.18034,1.18064,1.18034,1.18039,0,0
2026-02-25T14:55:00+08:00,1.18038,1.18062,1.18029,1.18055,0,0
2026-02-25T15:00:00+08:00,1.18052,1.18076,1.18042,1.18069,0,0
2026-02-25T15:05:00+08:00,1.1807,1.18079,1.18055,1.18065,0,0
2026-02-25T15:10:00+08:00,1.18066,1.18076,1.18044,1.18046,0,0
2026-02-25T15:15:00+08:00,1.18048,1.18056,1.18027,1.18034,0,0
2026-02-25T15:20:00+08:00,1.18035,1.18044,1.18013,1.18016,0,0
2026-02-25T15:25:00+08:00,1.18017,1.18031,1.18004,1.18023,0,0
2026-02-25T15:30:00+08:00,1.1802,1.18022,1.18001,1.18005,0,0
2026-02-25T15:35:00+08:00,1.18004,1.18023,1.17997,1.18006,0,0
2026-02-25T15:40:00+08:00,1.18005,1.18029,1.18002,1.18021,0,0
2026-02-25T15:45:00+08:00,1.18017,1.18035,1.18012,1.18031,0,0
2026-02-25T15:50:00+08:00,1.1803,1.18063,1.18013,1.18013,0,0
2026-02-25T15:55:00+08:00,1.18014,1.18019,1.17971,1.17971,0,0
2026-02-25T16:00:00+08:00,1.17972,1.18001,1.17965,1.17994,0,0
2026-02-25T16:05:00+08:00,1.17993,1.18,1.17946,1.17966,0,0
2026-02-25T16:10:00+08:00,1.17967,1.17974,1.17944,1.17955,0,0
2026-02-25T16:15:00+08:00,1.17956,1.17991,1.17953,1.1796,0,0
2026-02-25T16:20:00+08:00,1.17959,1.17965,1.17944,1.17945,0,0
2026-02-25T16:25:00+08:00,1.17946,1.17949,1.17906,1.17923,0,0
2026-02-25T16:30:00+08:00,1.17925,1.17934,1.17905,1.17926,0,0
2026-02-25T16:35:00+08:00,1.17924,1.17947,1.17923,1.17942,0,0
2026-02-25T16:40:00+08:00,1.17943,1.1795,1.17928,1.1793,0,0
2026-02-25T16:45:00+08:00,1.17931,1.17947,1.17916,1.1793,0,0
2026-02-25T16:50:00+08:00,1.17931,1.17934,1.17907,1.17917,0,0
2026-02-25T16:55:00+08:00,1.17916,1.17921,1.17895,1.17902,0,0
2026-02-25T17:00:00+08:00,1.17901,1.17904,1.17884,1.17887,0,0
2026-02-25T17:05:00+08:00,1.17888,1.17911,1.17884,1.17907,0,0
2026-02-25T17:10:00+08:00,1.17906,1.17915,1.17884,1.17889,0,0
2026-02-25T17:15:00+08:00,1.17888,1.17896,1.17865,1.17895,0,0
2026-02-25T17:20:00+08:00,1.17894,1.17916,1.17875,1.17885,0,0
2026-02-25T17:25:00+08:00,1.17886,1.17895,1.17875,1.1789,0,0
2026-02-25T17:30:00+08:00,1.17891,1.17932,1.17879,1.1792,0,0
2026-02-25T17:35:00+08:00,1.17919,1.1792,1.17881,1.17899,0,0
2026-02-25T17:40:00+08:00,1.17901,1.17909,1.17863,1.17866,0,0
2026-02-25T17:45:00+08:00,1.17867,1.17882,1.17855,1.17864,0,0
2026-02-25T17:50:00+08:00,1.17863,1.17896,1.17861,1.17893,0,0
2026-02-25T17:55:00+08:00,1.17892,1.17901,1.17856,1.17878,0,0
2026-02-25T18:00:00+08:00,1.17878,1.17885,1.17831,1.17844,0,0
2026-02-25T18:05:00+08:00,1.17843,1.17861,1.17835,1.17852,0,0
2026-02-25T18:10:00+08:00,1.1785,1.17878,1.17849,1.17865,0,0
2026-02-25T18:15:00+08:00,1.17861,1.17872,1.17839,1.17872,0,0
2026-02-25T18:20:00+08:00,1.17872,1.17874,1.17842,1.17859,0,0
2026-02-25T18:25:00+08:00,1.17858,1.1787,1.17839,1.17844,0,0
2026-02-25T18:30:00+08:00,1.17839,1.17839,1.17812,1.17822,0,0
2026-02-25T18:35:00+08:00,1.17825,1.17848,1.17794,1.1781,0,0
2026-02-25T18:40:00+08:00,1.17811,1.17828,1.17801,1.17816,0,0
2026-02-25T18:45:00+08:00,1.17817,1.1782,1.178,1.17813,0,0
2026-02-25T18:50:00+08:00,1.17811,1.1782,1.17802,1.17816,0,0
2026-02-25T18:55:00+08:00,1.17815,1.17819,1.17797,1.17799,0,0
2026-02-25T19:00:00+08:00,1.17799,1.17813,1.17778,1.17791,0,0
2026-02-25T19:05:00+08:00,1.17789,1.17798,1.17775,1.17782,0,0
2026-02-25T19:10:00+08:00,1.17781,1.17804,1.17775,1.178,0,0
2026-02-25T19:15:00+08:00,1.17798,1.178,1.17754,1.17756,0,0
2026-02-25T19:20:00+08:00,1.17754,1.17756,1.17737,1.17744,0,0
2026-02-25T19:25:00+08:00,1.17745,1.17748,1.17713,1.17716,0,0
2026-02-25T19:30:00+08:00,1.17714,1.17745,1.17706,1.17722,0,0
2026-02-25T19:35:00+08:00,1.17721,1.1776,1.17721,1.17742,0,0
2026-02-25T19:40:00+08:00,1.17743,1.17746,1.1773,1.1773,0,0
2026-02-25T19:45:00+08:00,1.17728,1.17749,1.17725,1.17732,0,0
2026-02-25T19:50:00+08:00,1.17731,1.17745,1.17728,1.17739,0,0
2026-02-25T19:55:00+08:00,1.17738,1.17769,1.1773,1.1775,0,1
2026-02-25T20:00:00+08:00,1.17751,1.1778,1.17739,1.17776,0,0
2026-02-25T20:05:00+08:00,1.17775,1.17801,1.17775,1.17795,0,0
2026-02-25T20:10:00+08:00,1.17794,1.17818,1.17793,1.17816,0,0
2026-02-25T20:15:00+08:00,1.17817,1.17828,1.17803,1.17826,0,0
2026-02-25T20:20:00+08:00,1.17825,1.17831,1.17811,1.17827,0,0
2026-02-25T20:25:00+08:00,1.17828,1.17843,1.1782,1.17827,0,0
2026-02-25T20:30:00+08:00,1.17826,1.17843,1.17808,1.17823,0,0
2026-02-25T20:35:00+08:00,1.17824,1.17829,1.17813,1.17818,0,0
2026-02-25T20:40:00+08:00,1.17816,1.17853,1.17808,1.17851,0,0
2026-02-25T20:45:00+08:00,1.17852,1.17861,1.17838,1.17855,0,0
2026-02-25T20:50:00+08:00,1.17854,1.17866,1.17844,1.17849,0,0
2026-02-25T20:55:00+08:00,1.1785,1.17867,1.17841,1.17859,0,0
2026-02-25T21:00:00+08:00,1.1786,1.17869,1.17848,1.1786,0,0
2026-02-25T21:05:00+08:00,1.17862,1.1788,1.17833,1.17838,0,0
2026-02-25T21:10:00+08:00,1.17836,1.1788,1.17836,1.17877,0,0
2026-02-25T21:15:00+08:00,1.17878,1.17903,1.1787,1.17882,0,0
2026-02-25T21:20:00+08:00,1.17884,1.17888,1.17856,1.17883,0,0
2026-02-25T21:25:00+08:00,1.17882,1.17883,1.17829,1.17837,0,0
2026-02-25T21:30:00+08:00,1.17836,1.17836,1.17802,1.17816,0,0
2026-02-25T21:35:00+08:00,1.17817,1.17858,1.17814,1.17845,0,0
