"Order ID","Position ID","Event","Time (UTC+8)","Volume","Quantity","Type","Entry price","TP","SL","Closing price","Gross profit","Pips","Balance","Equity","Serial #"
"","22","Create Position","17/03/2026 11:35:00.000","78000","0.78 Lots","Sell","1.15011","1.14881","1.15076","","0.00","0","-","10 277.71","41"
"","23","Take Profit Hit","17/03/2026 13:56:00.000","56000","0.56 Lots","Sell","1.14991","1.14811","1.15081","1.14804","104.72","18.7","10 243.78","10 243.78","49"
"","23","Create Position","17/03/2026 11:40:00.000","56000","0.56 Lots","Sell","1.14991","1.14811","1.15081","","0.00","0","-","10 268.37","42"
"","24","Stop Loss Hit","17/03/2026 13:46:00.000","78000","0.78 Lots","Buy","1.14915","1.15045","1.1485","1.14843","-56.16","-7.2","10 210.66","10 230.33","47"
"","24","Create Position","17/03/2026 12:15:00.000","78000","0.78 Lots","Buy","1.14915","1.15045","1.1485","","0.00","0","-","10 323.43","43"
"","25","Stop Loss Hit","17/03/2026 13:44:00.000","54000","0.54 Lots","Buy","1.14984","1.15172","1.1489","1.14883","-54.54","-10.1","10 174.54","10 251.48","45"
"","25","Create Position","17/03/2026 13:15:00.000","54000","0.54 Lots","Buy","1.14984","1.15172","1.1489","","0.00","0","-","10 312.36","44"
"","26","Take Profit Hit","17/03/2026 15:14:00.000","53000","0.53 Lots","Buy","1.14706","1.14898","1.1461","1.149","102.82","19.4","10 342.98","10 342.98","51"
"","26","Create Position","17/03/2026 14:15:00.000","53000","0.53 Lots","Buy","1.14706","1.14898","1.1461","","0.00","0","-","10 243.78","50"
"","27","Take Profit Hit","17/03/2026 16:44:00.000","53000","0.53 Lots","Buy","1.14904","1.15096","1.14808","1.15111","109.71","20.7","10 449.07","10 547.57","55"
"","27","Create Position","17/03/2026 15:25:00.000","53000","0.53 Lots","Buy","1.14904","1.15096","1.14808","","0.00","0","-","10 342.98","52"
"","28","Take Profit Hit","17/03/2026 16:47:00.000","53000","0.53 Lots","Buy","1.14924","1.15118","1.14827","1.15125","106.53","20.1","10 551.98","10 572.80","56"
"","28","Create Position","17/03/2026 16:20:00.000","53000","0.53 Lots","Buy","1.14924","1.15118","1.14827","","0.00","0","-","10 344.66","53"
"","29","Take Profit Hit","17/03/2026 21:04:00.000","31000","0.31 Lots","Buy","1.15024","1.15354","1.14859","1.15365","105.71","34.1","10 514.01","10 514.01","61"
"","29","Create Position","17/03/2026 16:40:00.000","31000","0.31 Lots","Buy","1.15024","1.15354","1.14859","","0.00","0","-","10 441.74","54"
"","30","Stop Loss Hit","17/03/2026 18:18:00.000","59000","0.59 Lots","Buy","1.15144","1.1532","1.15056","1.15038","-62.54","-10.6","10 485.40","10 492.89","58"
"","30","Create Position","17/03/2026 17:05:00.000","59000","0.59 Lots","Buy","1.15144","1.1532","1.15056","","0.00","0","-","10 583.96","57"
"","31","Stop Loss Hit","17/03/2026 21:01:00.000","54000","0.54 Lots","Sell","1.15163","1.14971","1.15259","1.15295","-71.28","-13.2","10 410.42","10 490.14","60"
"","31","Create Position","17/03/2026 20:40:00.000","54000","0.54 Lots","Sell","1.15163","1.14971","1.15259","","0.00","0","-","10 526.37","59"
