"Order ID","Position ID","Event","Time (UTC+8)","Volume","Quantity","Type","Entry price","TP","SL","Closing price","Gross profit","Pips","Balance","Equity","Serial #"
"","1","Stop Loss Hit","17/03/2026 22:45:00.000","53000","0.53 Lots","Sell","1.15256","1.1507","1.15349","1.15365","-57.77","-10.9","9 938.61","9 938.61","1"
"","1","Create Position","17/03/2026 22:20:00.000","53000","0.53 Lots","Sell","1.15256","1.1507","1.15349","","0.00","0","-","10 000.00","0"
"","2","Stop Loss Hit","19/03/2026 03:24:00.000","49000","0.49 Lots","Buy","1.14827","1.15029","1.14726","1.1471","-57.33","-11.7","9 877.92","9 877.92","3"
"","2","Create Position","19/03/2026 03:05:00.000","49000","0.49 Lots","Buy","1.14827","1.15029","1.14726","","0.00","0","-","9 938.61","2"
"","3","Stop Loss Hit","19/03/2026 04:06:00.000","36000","0.36 Lots","Buy","1.14806","1.15074","1.14672","1.1467","-48.96","-13.6","9 826.50","9 826.50","5"
"","3","Create Position","19/03/2026 03:35:00.000","36000","0.36 Lots","Buy","1.14806","1.15074","1.14672","","0.00","0","-","9 877.92","4"
