/workspace/S1_Silver_Bullet/Silver_bullet_backtrader.py:525: RuntimeWarning: CISD sweep detection failed; defaulting to no CISD signals. Error: list index out of range
  warnings.warn(

================================================================================
Starting Portfolio Value: $10000.00
================================================================================

2025-12-04T11:35:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-04T14:35:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-05T02:30:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-05T02:35:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-05T06:30:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-05T09:55:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-05T10:25:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-05T10:50:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-05T12:20:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-05T14:35:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-05T17:30:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-08T05:45:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-08T05:50:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-08T06:05:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-08T15:25:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-08T15:30:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-08T19:35:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-08T21:15:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-08T23:35:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-09T06:45:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-09T07:15:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-09T13:00:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-09T20:25:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-10T06:10:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-10T07:05:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-10T17:05:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-11T02:45:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-11T03:35:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-11T14:20:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-11T20:50:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-12T01:55:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-12T07:40:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-12T10:05:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-12T15:45:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-15T12:40:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-15T13:20:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-15T18:25:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-15T19:15:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-15T23:10:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-15T23:50:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-16T02:05:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-16T07:45:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-16T14:35:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-16T14:40:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-16T15:00:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-16T17:15:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-17T07:55:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-17T08:00:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-17T10:50:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-17T14:35:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-17T14:45:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-17T16:55:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-18T01:00:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-18T02:15:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-18T07:55:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-18T11:35:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-18T16:55:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-18T17:20:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-18T19:30:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-18T20:45:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-18T23:30:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-19T01:55:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-19T03:30:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-19T08:20:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-19T09:55:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-19T11:55:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-19T12:25:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-19T13:25:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-22T04:00:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-22T05:05:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-22T11:20:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-22T20:40:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-22T21:45:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-22T21:50:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-22T23:40:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-23T02:50:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-23T10:45:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-23T17:15:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-23T18:35:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-24T01:35:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-24T03:20:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-24T07:05:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-24T07:10:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-24T07:30:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-24T10:25:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-26T00:20:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-26T03:45:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-26T06:10:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-26T07:15:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-26T07:35:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
2025-12-26T12:10:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-26T12:55:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=PASS HTF_POI=FAIL
2025-12-26T16:10:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=PASS HTF_POI=FAIL
2025-12-29T00:35:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-29T00:40:00: SHORT filter sequence: HTF POI -> Trend -> Time | Time=FAIL Trend=FAIL HTF_POI=FAIL
2025-12-29T04:45:00: LONG filter sequence: HTF POI -> Trend -> Time | Time=PASS Trend=FAIL HTF_POI=FAIL
