time_utc,time_hk,direction,signal_type,rejection_reason,filter_htf_poi,filter_trend,filter_time
2025-11-28 12:10:00+00:00,2025-11-28 20:10:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-11-28 13:30:00+00:00,2025-11-28 21:30:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-11-28 15:10:00+00:00,2025-11-28 23:10:00 HKT,SHORT,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-11-28 15:25:00+00:00,2025-11-28 23:25:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-11-28 17:00:00+00:00,2025-11-29 01:00:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-11-28 18:05:00+00:00,2025-11-29 02:05:00 HKT,LONG,ICT_Setup01,Time Filter (ICT session not active),True,True,False
2025-11-28 19:15:00+00:00,2025-11-29 03:15:00 HKT,SHORT,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-11-30 23:00:00+00:00,2025-12-01 07:00:00 HKT,LONG,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-11-30 23:05:00+00:00,2025-12-01 07:05:00 HKT,SHORT,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-01 00:05:00+00:00,2025-12-01 08:05:00 HKT,LONG,ICT_Setup01,Time Filter (ICT session not active),True,True,False
2025-12-01 00:25:00+00:00,2025-12-01 08:25:00 HKT,LONG,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-01 03:45:00+00:00,2025-12-01 11:45:00 HKT,SHORT,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-01 05:00:00+00:00,2025-12-01 13:00:00 HKT,SHORT,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-01 05:10:00+00:00,2025-12-01 13:10:00 HKT,SHORT,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-01 06:30:00+00:00,2025-12-01 14:30:00 HKT,SHORT,ICT_Setup01,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-01 07:15:00+00:00,2025-12-01 15:15:00 HKT,SHORT,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-01 08:40:00+00:00,2025-12-01 16:40:00 HKT,SHORT,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-01 10:40:00+00:00,2025-12-01 18:40:00 HKT,LONG,ICT_Setup01,Time Filter (ICT session not active),True,True,False
2025-12-01 11:20:00+00:00,2025-12-01 19:20:00 HKT,LONG,ICT_Setup01,Time Filter (ICT session not active),True,True,False
2025-12-01 11:45:00+00:00,2025-12-01 19:45:00 HKT,SHORT,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-01 13:00:00+00:00,2025-12-01 21:00:00 HKT,LONG,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-01 13:55:00+00:00,2025-12-01 21:55:00 HKT,SHORT,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-01 17:25:00+00:00,2025-12-02 01:25:00 HKT,LONG,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-01 17:50:00+00:00,2025-12-02 01:50:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-01 18:00:00+00:00,2025-12-02 02:00:00 HKT,LONG,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-02 02:05:00+00:00,2025-12-02 10:05:00 HKT,LONG,ICT_Setup01,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-02 02:30:00+00:00,2025-12-02 10:30:00 HKT,LONG,ICT_Setup01,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-02 06:20:00+00:00,2025-12-02 14:20:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-02 06:50:00+00:00,2025-12-02 14:50:00 HKT,SHORT,SB_FVG_Retrace,Time Filter (ICT session not active),True,True,False
2025-12-02 06:55:00+00:00,2025-12-02 14:55:00 HKT,SHORT,ICT_Setup01,Time Filter (ICT session not active),True,True,False
2025-12-02 08:20:00+00:00,2025-12-02 16:20:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-02 10:05:00+00:00,2025-12-02 18:05:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-02 10:25:00+00:00,2025-12-02 18:25:00 HKT,SHORT,ICT_Setup01,Time Filter (ICT session not active),True,True,False
2025-12-02 11:20:00+00:00,2025-12-02 19:20:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-02 12:20:00+00:00,2025-12-02 20:20:00 HKT,LONG,ICT_Setup01,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-02 12:35:00+00:00,2025-12-02 20:35:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-02 13:55:00+00:00,2025-12-02 21:55:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-02 16:45:00+00:00,2025-12-03 00:45:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-02 16:50:00+00:00,2025-12-03 00:50:00 HKT,LONG,ICT_Setup01,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-02 18:25:00+00:00,2025-12-03 02:25:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-02 18:55:00+00:00,2025-12-03 02:55:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-02 19:00:00+00:00,2025-12-03 03:00:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-02 21:05:00+00:00,2025-12-03 05:05:00 HKT,LONG,ICT_Setup01,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-02 23:05:00+00:00,2025-12-03 07:05:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-03 00:05:00+00:00,2025-12-03 08:05:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-03 00:30:00+00:00,2025-12-03 08:30:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-03 01:00:00+00:00,2025-12-03 09:00:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-03 01:30:00+00:00,2025-12-03 09:30:00 HKT,LONG,ICT_Setup01,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-03 03:15:00+00:00,2025-12-03 11:15:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-03 04:20:00+00:00,2025-12-03 12:20:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-03 05:05:00+00:00,2025-12-03 13:05:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-03 06:05:00+00:00,2025-12-03 14:05:00 HKT,SHORT,SB_FVG_Retrace + ICT_Setup01,Time Filter (ICT session not active),True,True,False
2025-12-03 10:25:00+00:00,2025-12-03 18:25:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-03 10:45:00+00:00,2025-12-03 18:45:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-03 11:50:00+00:00,2025-12-03 19:50:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-03 12:20:00+00:00,2025-12-03 20:20:00 HKT,LONG,ICT_Setup01,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-03 12:50:00+00:00,2025-12-03 20:50:00 HKT,LONG,ICT_Setup01,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-03 13:35:00+00:00,2025-12-03 21:35:00 HKT,LONG,ICT_Setup01,Time Filter (ICT session not active),True,True,False
2025-12-03 14:30:00+00:00,2025-12-03 22:30:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-03 15:50:00+00:00,2025-12-03 23:50:00 HKT,SHORT,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-03 16:35:00+00:00,2025-12-04 00:35:00 HKT,SHORT,ICT_Setup01,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-03 17:20:00+00:00,2025-12-04 01:20:00 HKT,SHORT,ICT_Setup01,Time Filter (ICT session not active),True,True,False
2025-12-03 17:25:00+00:00,2025-12-04 01:25:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-03 20:00:00+00:00,2025-12-04 04:00:00 HKT,LONG,ICT_Setup01,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-03 21:10:00+00:00,2025-12-04 05:10:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-03 21:20:00+00:00,2025-12-04 05:20:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-03 21:35:00+00:00,2025-12-04 05:35:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-03 21:45:00+00:00,2025-12-04 05:45:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-03 23:05:00+00:00,2025-12-04 07:05:00 HKT,SHORT,ICT_Setup01,Time Filter (ICT session not active),True,True,False
2025-12-03 23:20:00+00:00,2025-12-04 07:20:00 HKT,SHORT,ICT_Setup01,Time Filter (ICT session not active),True,True,False
2025-12-03 23:55:00+00:00,2025-12-04 07:55:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-04 00:05:00+00:00,2025-12-04 08:05:00 HKT,LONG,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-04 01:00:00+00:00,2025-12-04 09:00:00 HKT,SHORT,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-04 01:10:00+00:00,2025-12-04 09:10:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
