time,open,high,low,close,EMA,3-4 AM,10-11 AM,2-3 PM,Shapes,Shapes,Trend MA,TF1 Trend,TF2 Trend,TF3 Trend,TF4 Trend
2025-11-27T23:00:00+08:00,4153.18,4158.72,4153.05,4157.27,4156.615304596735,,,,0,0,,3,2,1,0
2025-11-27T23:15:00+08:00,4157.34,4161.77,4157.05,4161.26,4156.79744951451,,,,0,0,,3,2,1,0
2025-11-27T23:30:00+08:00,4161.15,4161.15,4158.31,4159.81,4156.915588749235,0,1,0,0,0,,3,2,1,0
2025-11-27T23:45:00+08:00,4159.8,4160.81,4157.05,4158.04,4156.959683308089,0,0,0,0,0,,3,2,1,0
2025-11-28T00:00:00+08:00,4158.04,4158.44,4153.36,4155.49,4156.902048668556,0,0,0,0,0,,3,2,1,0
2025-11-28T00:15:00+08:00,4155.53,4155.9,4151.31,4154.18,4156.795301661946,0,0,0,0,0,,3,2,1,0
2025-11-28T00:30:00+08:00,4154.14,4155.72,4153.9,4155.16,4156.7311721850065,0,0,0,0,0,,3,2,1,0
2025-11-28T00:45:00+08:00,4155.29,4157.49,4154.46,4156.27,4156.713087001281,0,0,0,0,0,,3,2,1,0
2025-11-28T01:00:00+08:00,4156.3,4157.24,4154.88,4155.3,4156.65767182476,0,0,0,0,0,,3,2,1,0
2025-11-28T01:15:00+08:00,4155.43,4157.09,4154.75,4156.86,4156.6656062630045,0,0,0,0,0,,3,2,1,0
2025-11-28T01:30:00+08:00,4156.87,4158.09,4156.43,4157.26,4156.688915821318,0,0,0,0,0,,3,2,1,0
2025-11-28T01:45:00+08:00,4157.34,4159.26,4157.05,4157.84,4156.734056377345,0,0,0,0,0,,3,2,1,0
2025-11-28T02:00:00+08:00,4157.9,4158.54,4156.17,4156.79,4156.7362502449005,0,0,0,0,0,,3,2,1,0
2025-11-28T02:15:00+08:00,4156.8,4157.81,4155.7,4156.44,4156.724632588238,0,0,0,0,0,,3,2,1,0
2025-11-28T02:30:00+08:00,4156.39,4157.92,4156.14,4157.38,4156.750333271052,0,0,0,0,0,,3,2,1,0
2025-11-28T02:45:00+08:00,4157.37,4159.93,4157.08,4159.29,4156.849928044737,0,0,0,0,0,,3,2,1,0
2025-11-28T03:00:00+08:00,4159.31,4160.43,4158.98,4159.6,4156.957774003767,0,0,0,0,0,,3,2,1,0
2025-11-28T03:15:00+08:00,4159.74,4160.16,4157.02,4157.35,4156.973155415384,0,0,0,0,0,,3,2,1,0
2025-11-28T07:00:00+08:00,4159.71,4163.17,4158.22,4162.66,4157.196168928506,0,0,1,0,0,,3,2,1,0
2025-11-28T07:15:00+08:00,4162.79,4163.16,4160.91,4162.75,4157.413966225427,0,0,0,0,0,,3,2,1,0
2025-11-28T07:30:00+08:00,4162.89,4163.79,4162.08,4162.83,4157.626359706784,0,0,0,0,0,,3,2,1,0
2025-11-28T07:45:00+08:00,4162.59,4163.99,4162.06,4163.47,4157.855522071223,0,0,0,0,0,,3,2,1,0
